video_id,Comment_text,duration,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,month,year
sJIcxPj0R3A,,,2019-09-05,UCCwSSNBmLcJ22S3J0WctfcA,rajasthan ict satellite education science 10th “genetics” 25 july 2019 20 lecture 10,Rajasthan ICT Satellite Education Science 10th “Genetics” 25 July 2019 20 Lecture-10.,https://i.ytimg.com/vi/sJIcxPj0R3A/default.jpg,120,90,https://i.ytimg.com/vi/sJIcxPj0R3A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/sJIcxPj0R3A/hqdefault.jpg,480,360,ICT Satellite Education,none,204,9,1,0,0,9,2019
tjNe8l7-Zfw,,,2019-11-22,UCPA0hGQTtSZc9NlYWyhpfpg,<U+0905><U+092C> <U+0935><U+093F><U+091C><U+094D><U+091E><U+093E><U+0928> <U+0939><U+0941><U+0906> <U+0906><U+0938><U+093E><U+0928> the science 20 20 show episode 5 navdeep sir vector educators,<U+0905><U+092C> <U+0935><U+093F><U+091C><U+094D><U+091E><U+093E><U+0928> <U+0939><U+0941><U+0906> <U+0906><U+0938><U+093E><U+0928> | The Science 20-20 Show | Episode-5 | |Navdeep Sir | Vector Educators Part 1 : https://youtu.be/e-IHV0xDcbA Part 2 ...,https://i.ytimg.com/vi/tjNe8l7-Zfw/default.jpg,120,90,https://i.ytimg.com/vi/tjNe8l7-Zfw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tjNe8l7-Zfw/hqdefault.jpg,480,360,Vector Educators,none,174,19,0,0,0,11,2019
gU79fOUUra0,,,2019-10-11,UCOCbxR9-iuZf-WePziVN9zw,comp science homework 20,,https://i.ytimg.com/vi/gU79fOUUra0/default.jpg,120,90,https://i.ytimg.com/vi/gU79fOUUra0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gU79fOUUra0/hqdefault.jpg,480,360,eBud´,none,5,0,0,0,0,10,2019
T8YhHgwwyZw,,,2019-09-17,UCnaxTIltz4f-I18srg8dbiw,ncert science lesson 20 class 7th chapter 8 <U+092D><U+0942><U+0917><U+094B><U+0932> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+092D><U+0940> important,In this lesson we have discussed Chapter 8th of Class 7th from NCERT General Science book. Bhatner IAS is now Exam POST. “Exam POST” is the new name ...,https://i.ytimg.com/vi/T8YhHgwwyZw/default.jpg,120,90,https://i.ytimg.com/vi/T8YhHgwwyZw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/T8YhHgwwyZw/hqdefault.jpg,480,360,Bhatner IAS,none,815,78,1,0,13,9,2019
iAp0euWFPCs,,,2019-01-18,UC5y3eiNDVU24XloFioKwrdQ,emergency light only rs 20 by lemon juice science model,YouCanDo #AtHome #SubscribePlease EASY SCIENCE MODEL & MAGIC TUTORIAL ...,https://i.ytimg.com/vi/iAp0euWFPCs/default.jpg,120,90,https://i.ytimg.com/vi/iAp0euWFPCs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/iAp0euWFPCs/hqdefault.jpg,480,360,Magic Tutorial & Munai Hacks,none,3166,13,0,0,0,1,2019
_O7XBd-pDfg,,,2019-09-20,UCAagIF_P95ek83-2PFur1ug,lincoln school of science and technology morning announcements 9 20 19,"Mr. Olguin, Mrs. Fisher and 5th grade guests talk about 6ps, walk to school day, thrilling, Boxtops. Join us next time on Friday starting at 8:25.",https://i.ytimg.com/vi/_O7XBd-pDfg/default.jpg,120,90,https://i.ytimg.com/vi/_O7XBd-pDfg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_O7XBd-pDfg/hqdefault.jpg,480,360,Lincoln School of Sci & Tech,none,155,1,0,0,2,9,2019
AqtOvMoImfY,,,2019-06-26,UCiiiD66XGurDeS8mxYQAvaA,m a political science merit list and councling session 2019 20,M.A. Political Science merit list and councling Session 2019-20.,https://i.ytimg.com/vi/AqtOvMoImfY/default.jpg,120,90,https://i.ytimg.com/vi/AqtOvMoImfY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AqtOvMoImfY/hqdefault.jpg,480,360,Ankit Verma ALL HP Notification,none,1402,12,2,0,0,6,2019
TVNfeVxjJm0,,,2019-04-24,UCRvtyBXt5KFmuIzNNitEKvw,code org computer science discoveries unit 3 lesson 20 part 1,Part 2: https://youtu.be/hLHaStdtiC0 Part 3: https://youtu.be/uAYgAEYNWn0.,https://i.ytimg.com/vi/TVNfeVxjJm0/default.jpg,120,90,https://i.ytimg.com/vi/TVNfeVxjJm0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TVNfeVxjJm0/hqdefault.jpg,480,360,Bedor Education,none,504,5,2,0,2,4,2019
nfkt1v7DZkU,,,2019-07-17,UC-9jSd5yYgca_pcopqo2GhA,top 20 amazing facts facttechz science knowledge factism video,"Facttechz, Facttechz new videos, new facts videos in Hindi, facts in Hindi, facts, fact videos with science #facttechz #facttechznewvideos #factsvideos ...",https://i.ytimg.com/vi/nfkt1v7DZkU/default.jpg,120,90,https://i.ytimg.com/vi/nfkt1v7DZkU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nfkt1v7DZkU/hqdefault.jpg,480,360,Factism,none,8715,247,29,0,30,7,2019
RKdJqkfchJM,,,2019-05-16,UCz0UbbyRgCSE53hvCnsJ1PA,top 20 science measurements,Top 100 Full forms https://youtu.be/k2BUulzL5VE English Master Video https://www.youtube.com/playlist?list=PLLy891qvLM__T9J8BFvy2cjoDmoPF5zMA ...,https://i.ytimg.com/vi/RKdJqkfchJM/default.jpg,120,90,https://i.ytimg.com/vi/RKdJqkfchJM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RKdJqkfchJM/hqdefault.jpg,480,360,Super Fast English Academy,none,5188,428,9,0,99,5,2019
knmd17GDHLc,,,2019-09-28,UCZqERHCPtBSNy_S1rmkjnbA,science exhibition 19 20,"U.A.V.T. MATRIC SCHOOL, AMMAPET.",https://i.ytimg.com/vi/knmd17GDHLc/default.jpg,120,90,https://i.ytimg.com/vi/knmd17GDHLc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/knmd17GDHLc/hqdefault.jpg,480,360,UAVT Matric School,none,574,18,0,0,0,9,2019
z9cmFbklBRg,,,2019-10-24,UCUjykEQG4FKksKFVWntpRtQ,<U+092E><U+093E><U+0927><U+094D><U+092F><U+092E><U+093F><U+0915> <U+0936><U+093F><U+0915><U+094D><U+0937><U+0915> <U+092A><U+093E><U+0924><U+094D><U+0930><U+0924><U+093E> <U+092A><U+0930><U+0940><U+0915><U+094D><U+0937><U+093E> bihar stet 2019 computer science day 20 l operating system part 1,biharstetcomputerscience #biharstet2019exam #stetcomputerscience In this video watch Bihar STET <U+092A><U+0930><U+0940><U+0915><U+094D><U+0937><U+093E> 2019. Memory of computer Complete Concepts ...,https://i.ytimg.com/vi/z9cmFbklBRg/default.jpg,120,90,https://i.ytimg.com/vi/z9cmFbklBRg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/z9cmFbklBRg/hqdefault.jpg,480,360,S ACADEMY,none,1160,42,1,0,4,10,2019
jnVLHUXwpnY,,,2019-02-01,UCUJhEZqwvoTKgDSLQt5c7fA,ias upsc sciandtechforupsc science and technology for upsc ias def tech part 2,ias#upsc#civilservices #scienceandtechnologyforupsc #defencetechnology #vikarancoachinginstitute ...,https://i.ytimg.com/vi/jnVLHUXwpnY/default.jpg,120,90,https://i.ytimg.com/vi/jnVLHUXwpnY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jnVLHUXwpnY/hqdefault.jpg,480,360,vikaran Coaching institute,none,476,67,0,0,13,2,2019
