position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
11	UCqql64YYYZuR9k0s9nxMKpA	Riemann walker	KpjxfLp75rE	2018-10-28T00:46:35.000Z	2018-10-28 00:46:35	Marshmello ft bastille-happier(emotional animation HD music video 2018)	Thank you guys soo much for your support I hope you like it Subscribe Like Share ◇Follow me: ☆Youtube: https://m.youtube.com/channel/UCqql64YYYZuR9k0s9nxMKpA ☆Insta: https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.instagram.com/l0stwalker/&ved=2ahUKEwjxkP-avsDhAhVWA2MBHSUSAYMQFjAAegQIARAB&usg=AOvVaw0IEjnMuPn8miR9SwHeARSs ☆Twitter: https://twitter.com/l0stwalker/status/963046623902388224?s=19 ☆Facebook : Www.facebook.com/badreddine.darihem ☆Tags: #happier #marshmello #behappy #beyou #benice #befriend #smile #beautiful ☆Song : https://m.youtube.com/watch?v=m7Bc3pLyij0 ☆Credits: ♡in a heartbeat: https://m.youtube.com/watch?v=2REkk9SCRn0 ♡Aurora: https://m.youtube.com/watch?v=IdrDX0pGPsM&list=PLwEU12JjYS_8NVWV5d3oefRMLdFr47uK9&index=2&t=0s ♡take me home: https://m.youtube.com/watch?v=D_Rx4qZ8QRc&list=PLwEU12JjYS_8NVWV5d3oefRMLdFr47uK9&index=3&t=0s ♡Lily and the snowman: https://m.youtube.com/watch?v=YNDnMBHm_yQ&list=PLwEU12JjYS_8NVWV5d3oefRMLdFr47uK9&index=4&t=0s ♡Dia de los meurtos: https://m.youtube.com/watch?v=P2fSOq6Jxow&list=PLwEU12JjYS_8NVWV5d3oefRMLdFr47uK9&index=7&t=0s ♡Reflection: https://m.youtube.com/watch?v=sM6dGqYGLhs&list=PLwEU12JjYS_8NVWV5d3oefRMLdFr47uK9&index=5&t=0s ☆Follow marshmello : MARSHMELLO: Merch | http://mellogang.com/ Spotify | http://spoti.fi/Marshmello Apple Music | http://apple.co/2n8Evz6 SoundCloud | http://soundcloud.com/marshmellomusic Instagram | http://instagram.com/marshmellomusic Facebook | http://facebook.com/marshmellomusic Twitter | http://twitter.com/marshmellomusic Twitch | http://twitch.tv/marshmellomusic	22	People & Blogs	PT3M46S	226	2d	hd	false	https://i.ytimg.com/vi/KpjxfLp75rE/maxresdefault.jpg		29389962	182489	9893	0	5828
12	UCOw4v1j3QnzH7X4krQAS7fg	Tessa Violet	SiAuAJBZuGs	2018-06-15T20:15:40.000Z	2018-06-15 20:15:40	Tessa Violet - Crush (Official Music Video)	Check out my new single I Like (the idea of) You right here: https://bit.ly/33AdAQf :) We stan legs. My album Bad Ideas also came out a few weeks ago and is available everywhere music is found, you can see the official music videos for the first four singles including Games on my channel! Save Crush on Spotify now 💛 http://smarturl.it/TCrushSpotify 💛 Connect @tessaviolet on all platforms Instagram: https://www.instagram.com/tessaviolet Twitter: http://twitter.com/tessaviolet Facebook: https://www.facebook.com/tessaviolet Spotify: https://spoti.fi/2LU2dcM "Crush" Lyrics: VERSE 1 I can't focus on what needs to get done, I'm on notice hoping that you don't run you think I'm tepid but I'm misdiagnosed, cause I'm a stalker I seen all of your posts and I'm just trying to play it cool now but that's not what I want to do now and I'm not trying to be with you now (you now) you make it difficult to not overthink, and when I'm with you I turn all shades of pink I want to touch you but don't want to be weird, it's such a rush I'm thinking wish you were here and I'm just trying to play it cool now but that's not what I want to do now and I'm not trying to be with you now (you now) CHORUS but I could be your crush like throw you for a rush like hoping you'd text me so i could tell you I been thinking bout your touch like touch touch touch touch touch I could be your crush crush crush crush crush I got a fascination with your presentation making me feel like you're on my island you're my permanent vacation touch touch touch touch touch I could be your crush crush crush crush crush VERSE 2 I fill my calendar with stuff I can do, maybe if I'm busy it could keep me from you and I'm pretending you ain't been on my mind, but I took an interest in the things that you like and I'm just trying to play it cool now but that's not what I want to do now and I'm not trying to be with you now (you now) BRIDGE and yeah it's true that I'm a little bit intense right but can you blame me when you keep me on the fence like and I been waiting hoping that you'd wanna text like (text like) it's what I was born to do Directed by Jordan Harms & Isaac White Video produced by Big Forest https://www.bigforest.pictures/ Edited by Shawna Howson https://youtube.com/nanalew color by Isaac White lyrics & music by Tessa Violet and YACHT MONEY produced by Seth Earnest	10	Music	PT4M18S	258	2d	hd	false	https://i.ytimg.com/vi/SiAuAJBZuGs/maxresdefault.jpg	1	56451591	1368572	45847	0	53590
13	UCk0wwaFCIkxwSfi6gpRqQUw	CamilaCabelloVEVO	6fd2kkLmSDQ	2020-02-12T20:00:11.000Z	2020-02-12 20:00:11	Camila Cabello - My Oh My (Official Music Video) ft. DaBaby	"Romance" available at: https://CamilaCabello.lnk.to/Romance Follow Camila: https://twitter.com/camila_cabello https://www.instagram.com/camila_cabello https://www.facebook.com/camilacabello https://www.camilacabello.com (C) 2020 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment http://vevo.ly/xHd7Xe	10	Music	PT3M4S	184	2d	hd	false	https://i.ytimg.com/vi/6fd2kkLmSDQ/maxresdefault.jpg	1	16812586	881099	24051	0	29439
14	UC0a4ZRoauYMqgllbEbFBnaw	GodsmackVEVO	OYjZK_6i37M	2009-10-07T16:50:49.000Z	2009-10-07 16:50:49	Godsmack - I Stand Alone (Official Music Video)	Music video by Godsmack performing I Stand Alone. (C) 2001 Universal Motown Records, a division of UMG Recordings, Inc. Distributed by Universal Music & Video Distribution Corp. #Godsmack #IStandAlone #Vevo #Rock #OfficialMusicVideo	10	Music	PT4M56S	296	2d	sd	false	https://i.ytimg.com/vi/OYjZK_6i37M/maxresdefault.jpg	1	148748709	720002	45192	0	22833
15	UCDfk8ogO6QGeJAYCY0QDzKw	Stephen Sharer	ucg-sjC59tQ	2017-12-02T20:00:02.000Z	2017-12-02 20:00:02	Stephen Sharer - Snow Day (Official Music Video)	Snow Day - Original Song by Stephen Sharer Carter Sharer and Lizzy Sharer 🎶 GET THE TRACK 🎶 ▶︎ SPOTIFY (https://goo.gl/R11W9F) ▶︎ ITUNES (https://goo.gl/w6aNEC) 🔥 Share the Love (Official Music Video) 🔥 ▶︎ https://goo.gl/Wc9zPW Today Stephen Sharer, his brother Carter Sharer, and Lizzy Sharer all woke up and saw all the snow on the ground. There was so much snow that school was cancelled. It was a snow day! The Sharer Fam ran outside to play in the snow. The Sharer Bros made snow balls and had an epic snow ball fight and then hopped on their sleds and went down the hill. They walked up the hill just to sled back down. Liz and Carter even made a huge snowman. Liz put her hat and gloves on the snow man to keep him warm. The whole Sharer Fam was having so much fun they all made snow angles. After the long day of fun out in the snow the Sharer Fam drank hot chocolate out of Share the Love mugs in front of the fire place to warm up. If you thought this was the most epic vlog and music video ever then comment #MusicVideo and smash the like button. This music video and song captures the spirit of the Stephen Sharer channel and consolidates the positive message to help spread love around the world, Share the Love. 😊 This channel is family-friendly and kid-friendly, so everyone can join in on the fun! Share The Love!! 😊🤘 ❄️ Get SNOW DAY Merch ❄️ ▶︎ Swag Store: https://goo.gl/dTRDb9 ----------------------------------------------------------------------------------------------------------- 📦 FAN MAIL ADDRESS 📦 Stephen Sharer Youtube #633 2961 A Hunter Mill Rd Oakton, VA 22124 👕 STEPHENSHARER.COM 👕 ▶︎ https://goo.gl/nZZuxK ----------------------------------------------------------------------------------------------------------- Music Production - MMP Studios (https://goo.gl/bzLH2V) Publishing - Rob Sanchez Instrumental - Nicolas Taft Songwriter - Stephen Sharer, Carter Sharer, Lizzy Sharer, Gabriel Reed Video Production - Eplo Media (https://goo.gl/2MbWnL) Producer - Ryan Prunty Director of Photography - Zach Tidwell Videographer and Drone Operator - Brian Aiken (https://goo.gl/fB5FNg) Production Coordinator - Kelsey Sharer Special Thanks - Linda Chang Video Editor - Zach Tidwell ----------------------------------------------------------------------------------------------------------- Follow Us: 📸 INSTAGRAM → @StephenSharer (https://goo.gl/29IuVa) 👻 SNAPCHAT → @StephenSharer 🐦 TWITTER → @StephenSharer (https://goo.gl/0sVz9G) 📘 FACEBOOK → https://goo.gl/ea5Sui INSTAGRAM → @CarterSharer (https://www.instagram.com/cartersharer/) INSTAGRAM → @LizzySharer (https://www.instagram.com/lizzysharer/) INSTAGRAM → @OtterSharer (https://www.instagram.com/ottersharer/) Become a Sharer and Subscribe! https://goo.gl/46ofvO ----------------------------------------------------------------------------------------------------------- Business Inquiries: Business@StephenSharer.com Mailing Address: Stephen Sharer Youtube #633 2961 A Hunter Mill Rd Oakton, VA 22124 —————————————————————————————————————————————————— WARNING: This video is only for entertainment purposes. Do not attempt to recreate any of the acts in this video, as they may be dangerous if not done correctly, and could result in serious injury. If you rely on the information portrayed in this video, you assume the responsibility for the results. Have fun, but always think ahead, and remember that every project you try is at YOUR OWN RISK. This footage is property of SHARER BROS LLC and is not allowed to be repurposed without written consent from SHARER BROS LLC. For any requests from media contact us at Business@StephenSharer.com	24	Entertainment	PT3M19S	199	2d	hd	true	https://i.ytimg.com/vi/ucg-sjC59tQ/maxresdefault.jpg		17590364	120947	8167	0	25837
16	UCOwgc8DswjoBMuuUU2ScPvQ	Ava Max	SxGLPVvNjvY	2019-03-07T17:58:41.000Z	2019-03-07 17:58:41	Ava Max - So Am I [Official Music Video]	So Am I Available Now Download/Stream: https://AvaMax.lnk.to/SoAmIID Subscribe for more official content from Ava Max: https://Atlantic.lnk.to/AvaMaxSubscribe Join Ava's mailing list to be the first to know about tour dates, video premieres, special announcements & more: https://AvaMax.lnk.to/JoinAY Follow Ava Max Facebook - https://www.facebook.com/avamaxofficial Instagram - https://www.instagram.com/avamax Twitter - https://twitter.com/avamax http://avamax.com #AvaMax #SoAmI #OfficialMusicVideo	10	Music	PT3M14S	194	2d	hd	false	https://i.ytimg.com/vi/SxGLPVvNjvY/maxresdefault.jpg	1	114694270	1793539	32530	0	63872
17	UCnGsO8vRLlw4L87fUQlTwMg	Happy Elements株式会社	3jMYNA47bvs	2020-02-23T03:00:00.000Z	2020-02-23 03:00:00	あんさんぶるスターズ！！ Music ゲームサイズMV「魅惑劇」	あんさんぶるスターズ！！ Music MV、『Valkyrie』の『魅惑劇』です！ あんさんぶるスターズ！！公式サイト https://ensemble-stars.jp	20	Gaming	PT2M24S	144	2d	hd	false	https://i.ytimg.com/vi/3jMYNA47bvs/maxresdefault.jpg		102387	11462	13	0	729
18	UCOwgc8DswjoBMuuUU2ScPvQ	Ava Max	WXBHCQYxwr0	2018-08-27T16:26:25.000Z	2018-08-27 16:26:25	Ava Max - Sweet but Psycho [Official Music Video]	"Sweet but Psycho" Available Now Download/Stream: https://avamax.lnk.to/SweetButPsychoID Subscribe for more official content from Ava Max: https://Atlantic.lnk.to/AvaMaxSubscribe Join Ava's mailing list to be the first to know about tour dates, video premieres, special announcements & more: https://AvaMax.lnk.to/JoinAY Follow Ava Max Facebook - https://www.facebook.com/avamaxofficial Instagram - https://www.instagram.com/avamax Twitter - https://twitter.com/avamax http://avamax.com #OfficialMusicVideo #MusicVideo #SweetButPsycho Directed by Shomi Patwary Actor: Prasad Romijn Ava Max is a unique new talent, crafting pop anthems with a much-needed dose of fiery female empowerment.	10	Music	PT3M28S	208	2d	hd	false	https://i.ytimg.com/vi/WXBHCQYxwr0/maxresdefault.jpg	1	515881314	3963537	135899	0	102135
19	UCEdvpU2pFRCVqU6yIPyTpMQ	Marshmello	ALZHF5UqnU4	2016-07-02T18:02:11.000Z	2016-07-02 18:02:11	Marshmello - Alone (Official Music Video)	NEW Mello™️ by Marshmello gear SHOP NOW ▶ https://mellogang.com/collections/new-arrivals/ Download Alone here ▶ http://smarturl.it/melloAlone A lot of people ask me where Alone and its lyrics comes from. Truth is, I had just moved away from my friends and family and I started to feel very home sick and lonely like I didn’t belong in my new settings. Everything was just happening so fast and I couldn’t really grasp where I was or who I was but all i knew was that I felt Alone. With the music video, we really wanted to send a message. Nobody knows how you feel, whether you’re homesick, away from friends and family, or if you simply aren’t like everyone else…its ok. The whole purpose of the Marshmello project and the Mellogang is to bring together people from every corner of the world and create a family…a family that we can all count on to never let us feel Alone. I hope you guys enjoy this video as much as I do. It gives me the feels for sure. SUBSCRIBE HERE for more of the best music ▶ http://youtube.com/marshmellomusic?sub_confirmation=1 PLAY MARSHMELLO MUSIC DANCE HERE ▶ http://smarturl.it/mellomusicdance Follow Marshmello's 'Keep It Mello' Spotify Playlist ▶ https://spoti.fi/2OuMHG0 Watch Gaming with Marshmello HERE ▶ http://youtube.com/playlist?list=PLcYK4PlHbZQvk3_Q6fbJy0xklOZ2aH7WP Watch Cooking with Marshmello HERE ▶ http://youtube.com/playlist?list=PLcYK4PlHbZQtXROf5fnrr4dO4ruWiv7ts WATCH ONE THING RIGHT ▶ https://youtu.be/O6RyKbcpBfw WATCH LIGHT IT UP MUSIC VIDEO ▶ https://youtu.be/qGh2e-yqEYQ WATCH HERE WITH ME MUSIC VIDEO ▶ https://youtu.be/J3UXp9jIr-U WATCH BIBA MUSIC VIDEO ▶ https://youtu.be/UhYRlI_bpJQ WATCH PROJECT DREAMS MUSIC VIDEO ▶ https://youtu.be/Hn7WDtF3nKA WATCH HAPPIER MUSIC VIDEO ▶ https://youtu.be/m7Bc3pLyij0 WATCH TOGETHER MUSIC VIDEO ▶ https://youtu.be/JePnQ1gSagc WATCH BAYEN HABEIT LYRIC VIDEO ▶ https://youtu.be/jNJCdxMf0t8 WATCH STARS MUSIC VIDEO ▶ https://youtu.be/A57B7B6w3kw WATCH FLASHBACKS MUSIC VIDEO ▶ https://youtu.be/Lj-_mD0w474 WATCH YOU CAN CRY MUSIC VIDEO ▶ https://youtu.be/2SJ0hgdciNE WATCH EVERYDAY MUSIC VIDEO ▶ https://youtu.be/bEdcJY8Emm8 WATCH FLY MUSIC VIDEO ▶ https://youtu.be/oRArmtMA9AI WATCH FRIENDS MUSIC VIDEO ▶ https://youtu.be/jzD_yyEcp0M WATCH SPOTLIGHT MUSIC VIDEO ▶ https://youtu.be/7R1N-8SoqcM WATCH LOVE U MUSIC VIDEO ▶ https://youtu.be/D-pKeb6Wf4U WATCH TAKE IT BACK MUSIC VIDEO ▶ https://youtu.be/P9Ijqa_2eu0 WATCH SILENCE MUSIC VIDEO ▶ https://youtu.be/Tx1sqYc3qas WATCH BLOCKS MUSIC VIDEO ▶ https://youtu.be/5E4ZBSInqUU WATCH YOU & ME MUSIC VIDEO ▶ https://youtu.be/fiusxyygqGk WATCH FIND ME MUSIC VIDEO ▶ https://youtu.be/ymq1WdGUcw8 WATCH MOVING ON MUSIC VIDEO ▶ https://youtu.be/yU0tnrEk8H4 WATCH SUMMER MUSIC VIDEO ▶ https://youtu.be/2vMH8lITTCE WATCH KEEP IT MELLO MUSIC VIDEO ▶ https://youtu.be/_J_VpmXAzqg WATCH RESCUE ME ▶ https://youtu.be/O6RyKbcpBfw MARSHMELLO: Merch | http://mellogang.com Spotify | http://spoti.fi/marshmello Apple Music | https://apple.co/2n8Evz6 SoundCloud | http://soundcloud.com/marshmellomusic Instagram | http://instagram.com/marshmellomusic Facebook | http://facebook.com/marshmellomusic Twitter | http://twitter.com/marshmellomusic Twitch | http://twitch.tv/marshmellomusic Director: Daniel Burke Creative Agency: 23FIFTN Creative Director: Daniel Malikyar, Karam Gill Executive Producer: Reed Matthews Producer: Karam Gill & Jack Winter Director of Photography: Ian Quill 1st AD: Helena McGill Unit Production Manager: Steven Taylor Production Coordinator: Jake Herman & Cole Mier Production Designer: Bryce Neville Editor/DIT: Alex Crosby Colorist: Kinan Chabani #Marshmello #Alone #Mellogang #Popular #Trending	10	Music	PT3M20S	200	2d	hd	true			1620033858	15142742	516287	0	796137
20	UCMJ5Qf3sOvQpcYiai1Noa3Q	Major Lazer	YqeW9_5kURI	2015-03-23T04:00:45.000Z	2015-03-23 04:00:45	Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video)	Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video) WATCH SEASON 1 OF MAJOR LAZER NOW: https://smarturl.it/MLCartoonSeason1 QUE CALOR MUSIC VIDEO FT. J BALVIN & EL ALFA OUT NOW 🥵 https://smarturl.it/QueCalorYT Subscribe to the Major Lazer YouTube Channel http://majorlazer.fm/YouTube "India is special and its beauty absolutely humbled me. When we toured there as Major Lazer, it was mind blowing to see our fan-base and we wanted to incorporate the attitude and positive vibes into our video and just do something that embodies the essence of Major Lazer. Major Lazer has always been a culture mashup and to us, India feels like some kind of special creature with one foot in history and one firmly in the future. The experience is something we'll never forget." - Diplo on making the "Lean On" video in India ☮ PEACE IS THE MISSION ☮ OUT NOW: http://smarturl.it/PITMiTunes STREAM LEAN ON: SPOTIFY - http://smarturl.it/MajorLazerHits SOUNDCLOUD - http://smarturl.it/LeanOnStream PANDORA - http://smarturl.it/MajorLazerPandora JIOSAAVN: http://smarturl.it/JioSaavnMLPlaylist DOWNLOAD LEAN ON: ITUNES - http://smarturl.it/LeanOniTunes AMAZON - http://smarturl.it/LeanOnAmazon BEATPORT - http://smarturl.it/LeanOnBP FOLLOW MAJOR LAZER: WEBSITE - http://www.majorlazer.com FACEBOOK - http://majorlazer.fm/Facebook TWITTER - http://majorlazer.fm/Twitter INSTAGRAM - http://majorlazer.fm/Instagram SOUNDCLOUD - http://majorlazer.fm/SoundCloud MAJOR LAZER ON TOUR - http://majorlazer.fm/Tour GET MAJOR LAZER GEAR WEBSTORE - http://www.LazersNeverDie.com AMAZON (Free Prime Shipping) - http://smarturl.it/supermarketteAZ Director - Tim Erem Producer - Per Welén Prod. Co - Diktator DoP - Jacob Möller Editor - Leila Sarraf (Trim Editing) Colorist - Matt Osborne (The Mill) Stylist - Violetta Kassapi India Crew: Producer - Mikhail Mehra Producer - Akshay Multani Associate Director - Mikhail Mehra Assistant DOP - Zaryan Patel Assistant Stylist - NorBlack NorWhite Line Producer - Durgesh Dadich Choreographer - Paresh Shirodkar Production company: Motion Eccentricá Special thanks to VH1 Supersonic and Oji #MajorLazer #LeanOn #MØ #DJSnake	10	Music	PT2M59S	179	2d	hd	true		1	2745998530	11706896	517565	0	394820
21	UCp6_KuNhT0kcFk-jXw9Tivg	Magic Music	HUq4S4ouicE	2020-02-22T12:56:15.000Z	2020-02-22 12:56:15	Best Music 2020 ♫ No Copyright EDM ♫ Gaming Music Trap, House, Dubstep #2	Best Music 2020 ♫ No Copyright EDM ♫ Gaming Music Trap, House, Dubstep 🎮 Listen Now: https://lnk.to/MagicGaming (Spotify Gaming Playlist) 🚀 Full Catalog Access & Usage Policy: https://m.me/magicmusicsquad 💪 Listen Now: https://lnk.to/MagicFitness (Workout Trap Playlist) ⚡ Magic Instagram: http://bit.ly/2Iny5FN 👉 Submit DEMO to Magic Records : https://bit.ly/2rrL9m0 ----------------------------------------------------------------------------------------------- ⚠️⚠️⚠️ HOW TO USE & CREDIT OUR MUSIC⚠️⚠️⚠️ All "Magic Releases" are FREE TO USE & FREE TO MONETIZE!! Please COPY & PASTE this in your video description!! Track: Music Provided by Magic Records Listen To The Original: Free Download: --------------------------------------------------------------------- 📧 Contact us: hi@magicmusic.io --------------------------------------------------------------------- ✔️ Tracklist: 0:00 Everen Maxwell - Where Earth Meets Heaven (feat. Sasha Waters) 4:47 TheFatRat & Maisy Kay - The Storm 7:34 Helynt - Time 10:50 Gill Chang & Danni Carra - Why Do I Try 13:55 Jack Shore Elevations 16:58 James Stikå - For You 20:11 RUD - Spectacular 23:00 Edwince - Closer 25:51 Ghost'n'Ghost - Love Again 29:06 JackEL & D.R.U. - All Alone (I Need Another) 32:00 Marin Hoxha - Good Times (feat. Tara Louise) 35:41 Legna Zeg & Zaira - Such a Crime 39:00 2nd Life - Won't be the Last (feat. Natalie Carr) 41:36 Ericovich - On My Way 44:06 Tritan - Guide Me Home (Feat. Sky Roses) 49:10 Tim Beeren - Can't Come Back [Magic Release] 52:13 Mesqo & Jewels - Humanity 55:40 32Stitches - Rest in Paradise (featuring Krysta Youngs & Julia Ross) 58:33 ROUGH X ONAR - Wild Love 1:01:24 Vince Johnson - Alpha 1:05:33 Marin Hoxha x Invent - Lost On The Way (feat. Caravn) 1:08:48 Fancy Folks & LUJAVO ft Mau Jasso - Hear Me Out 1:12:15 Tomline - Bridge 1:15:16 Jewels - White rose (ft. irosa) 1:18:45 Alban Chela - Still Hurts (Ft. Veronica Bravo) 1:22:00 Anikdote - Victim (Ft. Aminita Francis) 1:24:56 3mon - Paradise (Feat. Kiara) 1:27:44 Paul Garzon - Vellichor 1:30:24 Marin Hoxha, CryJaxx & Kynez - As I Am (feat. jfarr) 1:33:52 THROVN & Holly Terrens - Run This Show ✔️ Artwork: https://www.deviantart.com/yuumei/art/Revive-800282291 --------------------------------------------------------------------- .... Trap Trap Music Trap Mix 2019 Trap and Bass EDM Magic Music Trap Remix #magicmusic	10	Music	PT1H37M26S	2246	2d	sd	false	https://i.ytimg.com/vi/HUq4S4ouicE/maxresdefault.jpg	1	175963	3050	123	0	140
22	UCxMAbVFmxKUVGAll0WVGpFw	Cardi B	PEGccV-NOm8	2017-06-24T23:41:47.000Z	2017-06-24 23:41:47	Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO]	Cardi B - "Bodak Yellow" from the debut album Invasion of Privacy Stream/Download: https://CardiB.lnk.to/IOPAY Exclusive Bardi Gang merchandise available here: http://smarturl.it/BardiGangMerchYT Follow Cardi B http://cardibofficial.com http://Instagram.com/f/iamcardib http://Twitter.com/IAmCardiB https://Facebook.com/TheCardiBFanClub http://Soundcloud.com/IAmCardiB	22	People & Blogs	PT3M54S	234	2d	hd	false		1	857173783	6108451	590470	0	378649
23	UC8rVJyj4zE0S9-sccMLifIA	Lil Dicky	pvuN_WvF1to	2019-04-19T03:57:44.000Z	2019-04-19 03:57:44	Lil Dicky - Earth (Official Music Video)	For more information on how to save the Earth go to https://welovetheearth.org To purchase or stream Earth go to https://LilDicky.lnk.to/Earth "Earth" Song: Written by: David Burd, Benjamin Levin, Magnus August Høiberg, Josh Coleman and Jamil Chammas Produced by: Benny Blanco and Cashmere Cat Mixed by: Serban Ghenea Vocals by: Lil Dicky Additional Vocals by: Justin Bieber, Ariana Grande, Halsey, Zac Brown, Brendon Urie, Hailee Steinfeld, Wiz Khalifa, Snoop Dogg, Kevin Hart, Adam Levine, Shawn Mendes, Charlie Puth, SIA, Miley Cyrus, Lil Jon, Rita Ora, Miguel, Katy Perry, Lil Yachty, Ed Sheeran, Meghan Trainor, Joel Embiid, Tory Lanez, John Legend, Backstreet Boys, Bad Bunny, Psy, Kris Wu Choir Vocals by: Denise Janae, Naari Michele, Tiffany Palmer, Onitsha Shaw, George Potts, Mark Hood Drums/Percussion by: Chris Dave Choir Coordination by Anthony Evans for Sherman James Productions Music Video: Created by RYOT A full list of credits can be found here: https://welovetheearth.org/credits/ Directed By: Nigel Tierney Federico Heller Produced By: Zeda Stone Michael Broccolo Nigel Tierney German Heller Executive Producers: Mike Hertz Scooter Braun Zeda Stone Nigel Tierney Head of Story: Steven Gordon Art Direction: Ricky Baba Patrick Moss Graphic Design: Aisha Yousaf Music Video Mixer/Sound Designer: Erik Lohr Production Supervisor: Crystal Tierney Post Supervisor: Jason Alexander Business Affairs & Legal: Everett Hendler Josh Carpenter Animation Producer: German Heller Head of Production: Matías Bossié Art Director: Federico Carlini CG Producer: Santiago Tereso Animation Producers: Marco Lococo Julian Dorado Head of CG - Alejandro Turano Live Action Intro: Director - Tony Yacenda MV Executive Producer - Jacki Calleiro MD / Executive Producer - Lisa Margulis EP / Head of Production - Elizabeth Minzes Producer - Jona Ward Director of Photography - Adam Bricker Production Designer - Almitra Corey Casting - Good People Casting / Cindy Estada Editor- Patrick Tuck / Rock Paper Scissors Prop Master - Rose Leiker Prop Asst. - Christopher Labasbas Set Decorator - Lizzie Boyle Lead Person - Minh-Triet "Anthony” Nguyen Set Dresser - Andy Rines Gang Boss - Ed Lassak G+E Driver - Renee Guy MoHo Driver- Martin Perez Artist Make Up - Golden Sun Shyne Artist Hair - Andrea Jackson Cast Make Up - Jacque Piotrowski Stylist - Chloe Badawy Asst. Stylist - David Gangel Craft Services - Yaxkin Garcia Medic - Gary Gomez Studio Teacher - Phil Eisenhower Talent: Ring Leader - Vallon Deville Middle Kid - Gabriel Brown Younger Kid - Devin Carey Skater - Cree Kawa Convenience Store Owner - Jason Nott BG Talent Casting - Atmosphere Casting Trailers: Trailer Editor: Mary Ahlman Graphic Design: Ricky Baba Sound Design: Erik Lohr Website: Web Producer: Eric Day Lead Web Developer: Zach Tauber UX/UI Design: Predrag Markovic Copywriter: Jeff Sloniker Tutorial Video Editor: Mary Ahlman Tutorial Video Editor: Ryan Eakins Tutorial Video Editor: Eric Martin Sound Design: John Adams Color: Lookwell Color // Loren White VFX & Motion Graphics: DYAD // Fernando Rodriguez Animation: Teng Teng Chan Special Thanks: The Leonardo DiCaprio Foundation Justin Winters Karl Burkhart Edward Bell Scooter Braun Projects Shauna Nep Jackie Augustus Rogers & Cowan Sacks & Co Caleb Garrett Crystal Jr & Nigel Jr	10	Music	PT7M12S	432	2d	hd	true	https://i.ytimg.com/vi/pvuN_WvF1to/maxresdefault.jpg	1	229415708	8761755	270882	0	471070
24	UCp6_KuNhT0kcFk-jXw9Tivg	Magic Music	RLWcYADoV84	2020-01-25T14:11:42.000Z	2020-01-25 14:11:42	Chill Music Mix 2020 🍃Best Music Chill Out Mix #1	Chill Music Mix 2020 🍃Best Music Chill Out Mix #1 ⚡ Magic Spotify: https://lnk.to/magicmusic 🚀 Full Catalog Access & Usage Policy: https://m.me/magicmusicsquad ⚡ Magic Instagram: http://bit.ly/2Iny5FN 👉 Submit DEMO to Magic Records : https://bit.ly/2rrL9m0 --------------------------------------------------------------------- 📧 Contact us: hi@magicmusic.io --------------------------------------------------------------------- ✔️ Tracklist 00:00 Arman Cekin & Faydee - Better Days ft. Karra 03:05 RYVN - Met You (Ft. Kevin Adler & Happily Sad) 05:17 Módl - Clementine 09:32 Kedam - Too Good 12:40 Sophia Angeles - Miss You More 15:24 Rival x Max Hurrell - Demons (Ft. Veronica Bravo) [Acoustic Version] 19:05 32Stitches - Rest in Paradise (featuring Krysta Youngs & Julia Ross) 22:00 Jaron - Catch 26:11 Lani Rose - Warm Blanket 29:26 Skvor - Shine 32:17 Aether - Bloom 36:47 Subspace - feeling (ft. adelineum) 39:46 Arc North - Catch Me When I Fall (ft. Sarah de Warren) 42:40 2Scratch - Next To Me (feat. Rob Jarrah) 47:30 Lani Rose - Damaged 51:00 Thimlife ft. Alessandra Votta - Value 54:12 Heuse & NUVILICES - AI 56:52 sad alex - mess without you --------------------------------------------------------------------- .... Chill Music 2020 Chill Out Mix Chill Mix Chill Music Music Mix Chill Out Music #chillmusic #chillout	10	Music	PT1H10S	10	2d	hd	false	https://i.ytimg.com/vi/RLWcYADoV84/maxresdefault.jpg	1	1111884	12079	597	0	311
