video_id	text
EVQ7xDSgtI95	#OldManPaxus Rating: ??? ½   .. . .. . . are you sure this trailer is for a movie? and not a computer game?
EVQ7xDSgtI96	Yeah... still gonna watch it
EVQ7xDSgtI97	Arnold as a British man lmao ? okay ?? I’m sold
EVQ7xDSgtI98	teaser came last year!!!
EVQ7xDSgtI99	I believe the original title of this movie is Viy. This is a sequel from the first movie which the lead character/actor is Jason Flemyng.
EVQ7xDSgtI100	I can't wait for this comedy.
EVQ7xDSgtI101	What's the title?? Wheres the imdb page??? I want to see this!!!!
EVQ7xDSgtI102	T-800 & Jackie SHan  Team up?????
EVQ7xDSgtI103	Low budget VFX!!
EVQ7xDSgtI104	WTF?!
EVQ7xDSgtI105	Hahaha finally
EVQ7xDSgtI106	That looks so stupid...  I can't wait to see it
EVQ7xDSgtI107	I wonder if Chris Rock is gonna bitch about this movie not including enough diverse cast members
EVQ7xDSgtI108	Ummmmmm, how bout, no Scott?!
EVQ7xDSgtI109	Wow, it’s 2020 and the shittest films ever are being made. What a time to alive.
EVQ7xDSgtI110	Nice.
EVQ7xDSgtI111	At last...
EVQ7xDSgtI112	The Great Wall 2?
EVQ7xDSgtI113	Arnold start doing westerns
EVQ7xDSgtI114	Omg the CGI is freaking horrific
EVQ7xDSgtI115	Helmet? This is a east end pie
EVQ7xDSgtI116	Do you understand the words that are coming out of their mouths?
EVQ7xDSgtI117	Yeah! Cheese hell movie!
EVQ7xDSgtI118	it has The Forbidden Kingdom vibe
EVQ7xDSgtI119	I can’t tell if Jackie is the main character or not...
EVQ7xDSgtI120	Looks like good corny fun :)
EVQ7xDSgtI121	Gonna watch this for Jackie chan
EVQ7xDSgtI122	OMG...I'm like what the bleep were people thinking? Drugs like that should shared lol.
EVQ7xDSgtI123	Isn’t this movie about 2 years old?
EVQ7xDSgtI124	Already seen the movie and trailer is here yesterday
EVQ7xDSgtI125	This very nice movie..its same movie`` The journey in china?...
EVQ7xDSgtI126	Let off some steam.. Bennett
EVQ7xDSgtI127	Wtf! ?
EVQ7xDSgtI128	WTF?
EVQ7xDSgtI129	jacky never die..
EVQ7xDSgtI130	Incredible...
EVQ7xDSgtI131	I would watch it just to see jackie chan and Arnold
EVQ7xDSgtI132	OMG. MUST. SEE. THIS. NOWWWWW
EVQ7xDSgtI133	"It's like they really really want to show that they're movie use CGI rather than make the CGI looks as real as possible. ""hey look, we have CGI as well you guys :}"""
EVQ7xDSgtI134	Oh dear.
EVQ7xDSgtI135	So the entire movie was shot on a green screen
EVQ7xDSgtI136	Lotta cgi.. do hope this movie is good though 2 great actors
EVQ7xDSgtI137	I have a feeling that jackie chan and Arnold are be in it for small part of the film. The trailer only showed them in the same area.
EVQ7xDSgtI138	Why did they record all the audio in a bathroom?
EVQ7xDSgtI139	Getting some real The Last Airbender vibes
EVQ7xDSgtI140	Everybody get down
EVQ7xDSgtI141	Lord mobiles the movie. The game had better graphics
EVQ7xDSgtI142	The CGI looks horrendous but I just love jackie chan and my action hero arny!! I am watching this.
EVQ7xDSgtI143	Anyone else here for the dragon?
EVQ7xDSgtI144	God that looks awful.
EVQ7xDSgtI145	I wanna see it.
EVQ7xDSgtI146	This looks like a fake trailer that you'd see in Grindhouse
EVQ7xDSgtI147	Be rude not to watch a Jackie chan movie??
EVQ7xDSgtI148	It looks so bad. I cant wait
EVQ7xDSgtI149	Arnold and Jackie look to be the only good thing in this train wreck
EVQ7xDSgtI150	Authentic 1999 CGI!
EVQ7xDSgtI151	Hmm.....I'm only going to watch this because, Arnold Schwarzenegger and Jackie Chan are in the movie. 
EVQ7xDSgtI152	TERRANCE OUT
EVQ7xDSgtI153	People didn't give The Forbidden Kingdom a chance either and that movie was great, I can't wait to see this.
EVQ7xDSgtI154	Arnold is way out of place, im surprised he wasnt like an old barbarian
EVQ7xDSgtI155	Man this will flop bigtime
EVQ7xDSgtI156	this is an old movie
EVQ7xDSgtI157	Looks like a big ol mess.
EVQ7xDSgtI158	Watched it was a good movie
EVQ7xDSgtI159	No. Just no.
EVQ7xDSgtI160	Looks like from 2003
EVQ7xDSgtI161	This movie has been out. Subbed but out. I say subbed but half of it is in English anyway.
EVQ7xDSgtI162	Name dropping Kill Bill won't get me to watch this crap
EVQ7xDSgtI163	So excited
EVQ7xDSgtI164	What a big mustache
EVQ7xDSgtI165	Looks lame
EVQ7xDSgtI166	I am quite hyped to see Arnold and jackie Chan at the big screen together but the cgi make this feel more like a video game over a movie.
EVQ7xDSgtI167	After the DF debacle Arnold can only do bad Chinese movies now.
EVQ7xDSgtI168	The real title of this movie is  viy 2 journey to china, then it was  forbidden empire 2: journey to china, then it was renamed, journey to china: mystery of the dragon seal, then it was renamed Journey to china : mystery of the iron mask, NOW it is THE IRON MASK.... it was released 3 times under the  1st ,2nd and 3rd title since 2018... I have no idea what the producers are smoking to make them forget they have already released this film 2 times
EVQ7xDSgtI169	Reminds me of Forbidden Kingdom but with more crazy stuff going on and humor lol ?.
EVQ7xDSgtI170	What The heck?
EVQ7xDSgtI171	I already watched in last year
EVQ7xDSgtI172	uuuuuuuuuuuooooooooooooooooooooooowwwwwwwwwwwww!!!!!!!! Arnoldd and Jackiiiiiie   nhaaa
EVQ7xDSgtI173	RAZZIE AWARDS 2021 WINNERS ;
EVQ7xDSgtI174	WORST PICTURE
EVQ7xDSgtI175	Wack
EVQ7xDSgtI176	Nope
EVQ7xDSgtI177	Another wheelchair movie
EVQ7xDSgtI178	Reason to watch this : Arnie and Jackie
EVQ7xDSgtI179	A movie starring two of the hardest people to understand.
EVQ7xDSgtI180	Hard pass on this one?
EVQ7xDSgtI181	Don't go below, they are asking for likes. ?
EVQ7xDSgtI182	The animation/special effects pretty much stole the show, but not in a good way, I know they’re in there golden years, and can’t do certain things they used to do, wish they’d turn the special effects down a few notches, let these two legends steal the show not the most colorful dragon I’ve ever seen
EVQ7xDSgtI183	That CGI looks like from 1990´s. What is budget for this movie and how big cut Jackie and Arnold have ? Like WTF it must be like 90%.
EVQ7xDSgtI184	already released in chinese last year
EVQ7xDSgtI185	Arnold Schwarzenegger and Jackie chan in the same movie?!.. I love it!
EVQ7xDSgtI186	Don't want to see it
EVQ7xDSgtI187	Dragon seal ????
EVQ7xDSgtI188	I love jackie chan
EVQ7xDSgtI189	vai ganhar o oscar nesse ai em...
EVQ7xDSgtI190	I'm only going to sit through this movie for one reason and one reason alone to see Jackie Chan and Arnold Schwarzenegger fight
EVQ7xDSgtI191	Is this a joke?
EVQ7xDSgtI192	Idk about you but for me the bad CGI and ridicolous look actualy make it more intaresting and funny
EVQ7xDSgtI193	I will watch this... after I have seen Cats.
EVQ7xDSgtI194	Why did they change the name of the movie?????
EVQ7xDSgtI195	I saw this trailer like two months ago and the name was different. (I can't remember the other name)
EVQ7xDSgtI196	Ummm....the jury is still out.
EVQ7xDSgtI197	This is unfortunate.
EVQ7xDSgtI198	I will never again watch a Jackie Chan movie ever...Is dude lives in China when the coronavirus breakout.. He didn't donate a single dime to help his people!! Cheap ass Jackie!!
EVQ7xDSgtI199	Jackie Chan? not interested
EVQ7xDSgtI200	The cgi is absolutely disappointing
EVQ7xDSgtI201	Streaming film complet (2020) en HD
EVQ7xDSgtI202	Qualité
EVQ7xDSgtI203	Film complet disponible le:  film-top-box-officce.blogspot.com/
EVQ7xDSgtI204	---------------------------------------------------------
EVQ7xDSgtI205	Cool
EVQ7xDSgtI206	Still entertaining the world and not retired. Well done Arnold
EVQ7xDSgtI207	a volta dos que não foram
EVQ7xDSgtI208	Looking more like a video game, graphics sucks
EVQ7xDSgtI209	Okay.............
EVQ7xDSgtI210	I thought jackie chan died at the age of 63
EVQ7xDSgtI211	WTF is that CGI?
EVQ7xDSgtI212	Is this a comedy?
EVQ7xDSgtI213	This is a SEQUEL to a 2014 movie called Forbidden Kingdom
EVQ7xDSgtI214	jackie chan  is cool.
EVQ7xDSgtI215	Horrível
EVQ7xDSgtI216	?????? ??? ???? ????
EVQ7xDSgtI217	"Why, why, is this a thing? Why, why, does this have 1.8k likes to 192 dislikes? I kept waiting for the deep fake reveal but it never came! The people that paid to get this made prove that some people have too much money. It's like one step up from ""burn it with fire""."
EVQ7xDSgtI218	Just looks like a kids movie so I'll pass on criticising it.
EVQ7xDSgtI219	Very nice video trailer
EVQ7xDSgtI220	#someinteresting
EVQ7xDSgtI221	Ga ada pemain lain yg cocok gitu
EVQ7xDSgtI222	do they have asian version when english people speak in english and chinese people speak in chinese and jackie chan speak in english when he talking with english people and speak in chinese when he talk with chinese people?
EVQ7xDSgtI223	why not throw in stallone as a pirate and jet li as master roshi
EVQ7xDSgtI224	amazing video
EVQ7xDSgtI225	why is the adr so bad?
EVQ7xDSgtI226	Viy 2
EVQ7xDSgtI227	Not able to accept the fact, Both of my childhood hero's acted together in crappy movie :(
EVQ7xDSgtI228	All posters here are brainless and nonsense
EVQ7xDSgtI229	Too bad Steve Coogan isn't here to travel the globe.
EVQ7xDSgtI230	Looks like it could be a kids movie Arnold bringing comedy ?
EVQ7xDSgtI231	very good
EVQ7xDSgtI232	This movie can only be made better if they had Nic Cage in it. I would pay to see it over and over again for Nic Cage. God, I love him!!!!
EVQ7xDSgtI233	This. Looks. Awful.
EVQ7xDSgtI234	What century was this movie made???
EVQ7xDSgtI235	why no funny trailer is jaki movie ??
EVQ7xDSgtI236	?Ty!
EVQ7xDSgtI237	It looks DREADFUL!???? I dont get it, is it meant to look bad? Like a joke???
EVQ7xDSgtI238	Anything with Jackie Chan.... take my money!!!??
EVQ7xDSgtI239	Definitely going to watch that on my birthday ?
EVQ7xDSgtI240	awesome new video game.
EVQ7xDSgtI241	Geez enough with the 70 year olds making action movies like they're still in their 30's
EVQ7xDSgtI242	amazingly epic
EVQ7xDSgtI243	Very old movie
EVQ7xDSgtI244	CGI is crap
EVQ7xDSgtI245	bad movie.....
EVQ7xDSgtI246	Looks fun but... cgi looks crap.
EVQ7xDSgtI247	Looks terrible. So terrible that I might actually watch it out of curiosity
EVQ7xDSgtI248	"Looks low budget, not for me. It’s 2020 and the Norwegian series ""Ragnarok"" has better CGI. Shame."
EVQ7xDSgtI249	Jackie and Arnold will only have well payed cameos to market the film to western audiences. It's the sequel to Forbidden Kingdom (Viy). A russian film from 2014. This film will be a Russian and Chinese co-production. That's why the effects aren't blockbuster like, but still not really bad. A lot of chinese and russian films are quite watchable with passable effects.
EVQ7xDSgtI250	That's terrible.
EVQ7xDSgtI251	https://youtu.be/bCcxtTWUM30
EVQ7xDSgtI252	I still think they need more Jackie Chan and Schwarzenegger to cover up the bad acting and CGI.
EVQ7xDSgtI253	12:28:00 AM
EVQ7xDSgtI254	Hey Raiden Called,he wants his hat back
EVQ7xDSgtI255	Another chinese produced film that tries hard to be Hollywood. Hard pass. Sorry Arnold and Jackie you guys are still my heroes.
EVQ7xDSgtI256	This looks terrible.......just, why ?
EVQ7xDSgtI257	Kk
EVQ7xDSgtI258	Going straight to dvd
EVQ7xDSgtI259	CGI movies sucks!!!
EVQ7xDSgtI260	Arnold Schwarzenegger...and Jackie Chan. This movie better have subtitles.
EVQ7xDSgtI261	This is just terrible
EVQ7xDSgtI262	Horrible CGI
EVQ7xDSgtI263	I mean I like Jackie Chan and Arnie but this movie looks like it would be better without them
EVQ7xDSgtI264	I thought Jackie was done making movies, but i'll watch it. Even if it's bad. Jackie always makes movies better when he's in them.
EVQ7xDSgtI265	Quelle grosse daube ?????
EVQ7xDSgtI266	Not sure if I should down vote because of the terrible graphics, terrible acting, terrible writing, and terrible cinematogrophy, or if I should up vote because of those.
EVQ7xDSgtI267	Oh Jackie!! I've lost all respect now. CGI looks terrible. Arnold looks and sounds ridiculous. Prediction: Early release on Sky TV - Straight to DVD - Final Destination - Garbage Disposal.
EVQ7xDSgtI268	Something is wrong... i have no charisma
EVQ7xDSgtI269	It looks like blockbuster can’t wait to see it
EVQ7xDSgtI270	Another stupid movie for gullibles.
EVQ7xDSgtI271	It looks more of a cartoon than a movie.Absolute rubbish.
EVQ7xDSgtI272	This movie looks so bad, just like all Jackie Chan movies
EVQ7xDSgtI273	Another horrible movie ruined by CGI
EVQ7xDSgtI274	Jackie Chan and Arnold,
EVQ7xDSgtI275	Hollywood's version  of Diversity.
EVQ7xDSgtI276	Kohl's will soon be selling it in their toy department.
EVQ7xDSgtI277	Terrible dialog, bad CGI, and Arnold still cant act. 
