"Title","views","Publisher","Time","Duration","Like","Dislike"
"HUAWEI P40 PRO ES PRECIOSO!!!!!!! Llegó la hora...","779,016 views",,,"20:48","36K","1K"
"DUKI - Nota Espacial (Video Oficial)","555,331 views",,,"2:39","96K","2.1K"
"Residente - Apocalíptico (Edición Cuarentena)","239,930 views",,,"6:15","45K","347"
"NOS GASTAMOS EL DINERO DE UN MULTIMILLONARIO","1,318,347 views",,,"11:13","107K","4.4K"
"Francia anuncia pruebas exitosas para curar COVID-19","340,538 views",,,"2:23","7.7K","340"
"Trueno - Azul y Oro (Lyric Video)","2,303,980 views",,,"3:14","304K","11K"
"Nintendo Direct Mini - 26/03/2020","158,899 views",,,"29:12","7.4K","504"
"Me escapé de mi mamá biológica para vivir con mi padrastro","257,826 views",,,"10:34","14K","323"
"CROQUETAS DE OREO","566,206 views",,,"13:54","72K","1.6K"
"GANANDO CON UNA LANCHA DESDE EL CIELO!! - Fernanfloo","1,152,308 views",,,"11:43","227K","7.1K"
"J Balvin - 'Colores' Trailer (Official Live Performance) | Vevo","615,845 views",,,"1:10","63K","541"
"MODIFICAMOS SU AUTO SIN QUE LO SUPIERA! (TUNING SORPRESA AL GUATE) | JUCA","690,822 views",,,"11:07","51K","396"
"COMO SON LOS MECÁNICOS | ESTO VA OCUPAR MI CARRO NUEVO","297,659 views",,,"19:15","19K","247"
"24 Horas cuidando a mi perro I Lapizin Crack","422,357 views",,,"12:58","29K","1.1K"
"¡TE CUENTO MIS 50 SECRETOS EN ESTE VIDEO!","1,088,094 views",,,"13:53","131K","3K"
"COSAS QUE NO SABÍAS HACE 5 MINUTOS 3 | Robleis","763,002 views",,,"18:08","105K","1K"
"Por qué es tan alta la mortalidad del coronavirus en Italia | BBC Mundo","2,036,309 views",,,"5:29","45K","1.8K"
"Terminamos...","2,812,844 views",,,"12:08","304K","13K"
"CITA VIRTUAL : CUARENTENATH #5","180,889 views",,,"14:55","12K","215"
"“SUEÑO con JUGAR en el MADRID” | El Bernabéu se convertirá en BODEGA | BARÇA bajaría sueldo 30%","377,632 views",,,"2:26","27K","308"
"México marca su propio ritmo por el coronavirus","393,499 views",,,"4:58","5.6K","947"
"Bassassin - Fortnite Shorts","661,958 views",,,"0:31","44K","1.1K"
"TRANSFORMACIONES de CABELLO más INCREIBLES - ANTES Y DESPUES | Mariale","488,374 views",,,"10:48","32K","942"
"MACARRONES GIGANTES DE LOS SIMPSON. EXPECTATIVA/REALIDAD FT @ivanzavalasugarart","335,144 views",,,"20:20","33K","510"
"Outfits chidos en el  Tianguis con $100 pesos 🤑 FT. Alex Flores","1,505,738 views",,,"17:46","93K","2.1K"
"Yo Perreo Sola - Bad Bunny | YHLQMDLG","48,018,211 views",,,"2:52","702K","13K"
"Ovi x Natanael Cano - Pacas Verdes [Official Video]","5,667,654 views",,,"3:18","211K","6.3K"
"Grupo Firme - Se Veía Venir","3,970,964 views",,,"2:40","135K","2.1K"
"J Balvin - Amarillo (Official Video)","28,845,949 views",,,"2:45","1M","30K"
"NUNCA PENSÉ HACER ESTO 😥 Kimberly Loaiza","8,147,180 views",,,"43:43","452K","15K"
"¿Por qué dejé de viajar por el mundo?","5,773,349 views",,,"10:06","458K","12K"
"KATIA Y YO NOS DIMOS UN 😘 (Kim se enoja) Juan de Dios Pantoja","5,134,354 views",,,"39:53","378K","18K"
"Franco Escamilla.- R.P.M. (parte 9) ""¿Hablas español?""","3,021,571 views",,,"8:54","146K","1.5K"
"Danna Paola - Sodio (Extended Version)","5,444,303 views",,,"4:11","208K","4.2K"
"ASÍ NOS PREPARAMOS PARA LO QUE VIENE  | LOS POLINESIOS VLOGS","3,575,732 views",,,"13:10","164K","5K"
"TIPS Y TRUCOS ASOMBROSOS PARA TU CABELLO || Ideas femeninas fáciles e increíbles por 123 GO! Spanish","3,879,243 views",,,"9:02","55K","4.6K"
"QUIEN ES MAS PROBABLE DE SER UN TRAIDOR 😱 JUKILOP","3,442,645 views",,,"17:47","258K","4.6K"
"100 PREGUNTAS EN 5 MINUTOS / no esperaba esto!","1,486,376 views",,,"8:59","148K","13K"
"Aprende el Abecedario con Missa","1,779,403 views",,,"1:34","334K","2.2K"
"Guaynaa - Rompe Rodillas (Official Video)","10,959,598 views",,,"2:27","291K","5.3K"
"LES PRESENTO MI NUEVO BÚNKER - [ANTRAX] ☣","2,946,020 views",,,"13:05","202K","7.1K"
"J BALVIN SUS LIMITADOS SNEAKERS Y SU NUEVO ÁLBUM “COLORES”","1,226,362 views",,,"11:11","95K","1.4K"
"Alemán - Cabrón Ft Yung Sarria","1,612,862 views",,,"2:55","122K","2.7K"
"SI TE MAQUILLAS SIN ESPEJO GANAS $10,000 | Lapizito y Lapizin","1,084,747 views",,,"20:16","55K","1.6K"
"#ConferenciaDePrensa: #Coronavirus #COVID19 | 25 de marzo de 2020","770,485 views",,,"58:00","20K","752"
"SCARING THIS MAN! JUCA REACTS TO HIS OWN CAR AS A CODRIVER... | Dani Clos","823,169 views",,,"11:25","53K","449"
"Charles Ans + Kaeve (M2H) + BCN Beats - Olvidemos El Reloj (Video Oficial)","487,139 views",,,"3:52","55K","276"
"JUGANDO CON LA PEOR CONEXIÓN DE FORTNITE (+500 DE PING) - TheGrefg","1,959,947 views",,,"11:09","162K","3K"
"DANI CLOS REACCIONA AL TURBO!!!  | JUCA","861,747 views",,,"13:18","67K","466"
"El Especial MUJERES PELUDAS -- La india Yuridia","840,603 views",,,"12:26","16K","581"
"Cabrito estilo Árabe a la leña | La Capital","1,567,317 views",,,"12:04","80K","1.3K"
"50 COSAS QUE HACER EN CUARENTENA - Lulu99","2,406,407 views",,,"10:03","171K","4.4K"
"Christian Nodal - Se Me Olvidó (La Canción del avión)","26,476,130 views",,,"2:58","641K","13K"
"HOLASOYGERMAN ANIMADO","3,135,176 views",,,"10:08","348K","2.8K"
"¡CONFESIONES CON MI PAPÁ! | Entrevista Eugenio Derbez PARTE 2 | José Eduardo Derbez","2,271,239 views",,,"12:24","136K","1.6K"
"SI TE RIES PIERDES NIVEL EXTREMO 🔥 FT JUKILOP | SoyFranciscoALV","2,226,006 views",,,"18:53","150K","2.3K"
"POR FIN YA TENGO INTRO 🤩 | Kim Shantal","636,858 views",,,"15:54","41K","2K"
"¿Por qué en Italia muere tanta gente por coronavirus?","2,587,928 views",,,"4:04","15K","1.6K"
"Lo Que Ven Las Chicas vs Lo Que Ven Los Chicos","1,659,336 views",,,"11:29","25K","2.9K"
"The Weeknd - In Your Eyes (Official Video)","6,489,303 views",,,"5:41","396K","7.5K"
"Las Noticias de la mañana, 24 de marzo de 2020 | Noticias Telemundo","1,608,615 views",,,"9:08","11K","1.1K"
"25 Cosas que no sabías hace 5 minutos [39]","2,482,985 views",,,"5:36","151K","1.4K"
